reference_start,R_SEQ_NO,CD_AREA,NO_EQUP_SE,SD_NM,SGG_NM,CD_EQUP,GB_ACMD,EQUP_NM,RDNMADR_CD,BDONG_CD,HDONG_CD,LOC_SFPR_A,SECT_EQUP,QTY_CPTY,XCORD,YCORD,XX,YY,CD_GUBUN,distance_from_gangnam_station_m
강남역 인근 시연 시작점,3920.0,1165000000.0,468.0,서울특별시,서초구,14.0,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",언남문화체육센터,1165010200103090000003104,1165010200.0,1165065200.0,서울특별시 서초구 동산로13길 35(양재동),330.0,126.0,127.04337,37.47232,203836.58872,541432.79846,안전,3169.698077974835
강남역 인근 시연 시작점,3915.0,1165000000.0,450.0,서울특별시,서초구,1.0,학교,언남중학교,1165010200103100000003164,1165010200.0,1165065200.0,서울특별시 서초구 동산로 55(양재동),1700.0,653.0,127.04411,37.47254,203902.13381,541456.73541,안전,3177.0956252350666
강남역 인근 시연 시작점,3958.0,1165000000.0,466.0,서울특별시,서초구,14.0,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",심산기념문화센터,1165010700101140003017800,1165010700.0,1165057000.0,서울특별시 서초구 사평대로 55(반포동),917.0,352.0,126.99157,37.49904,199254.58604,544397.2529,안전,3182.633579515776
강남역 인근 시연 시작점,3916.0,1165000000.0,457.0,서울특별시,서초구,1.0,학교,매헌초등학교,1165010200103110001000002,1165010200.0,1165065200.0,서울특별시 서초구 언남길 8(양재동),665.0,255.0,127.04203,37.47124,203718.05604,541313.22443,안전,3229.709477075937
강남역 인근 시연 시작점,3926.0,1165000000.0,6.0,서울특별시,서초구,1.0,학교,반포초등학교,1165010700109370000018837,1165010700.0,1165055000.0,서울특별시 서초구 신반포로 55-4 (반포동),252.0,96.0,126.99098,37.50314,199202.91864,544852.3013,긴급,3283.553432021955
강남역 인근 시연 시작점,3919.0,1165000000.0,475.0,서울특별시,서초구,4.0,관공서,양재2동주민센터,1165010200103230001003272,1165010200.0,1165065200.0,서울특별시 서초구 강남대로12길 44(양재동),350.0,134.0,127.04,37.47,203538.43242,541175.27654,안전,3293.230846392661
강남역 인근 시연 시작점,3971.0,1168000000.0,21.0,서울특별시,강남구,1.0,학교,포이초등학교,1168010300102730000020783,1168010300.0,1168069000.0,서울특별시 강남구 개포로22길 87(개포동),12490.0,4803.0,127.05288,37.47603,204677.2551,541844.99941,안전,3301.934985485171
강남역 인근 시연 시작점,3953.0,1168000000.0,526.0,서울특별시,강남구,1.0,학교,경기고등학교,1168010500100740004014890,1168010500.0,1168058000.0,서울특별시 강남구 영동대로 643(삼성동),614.0,236.0,127.056,37.51743,204950.97028,546439.60882,안전,3311.1032132457435
강남역 인근 시연 시작점,3910.0,1165000000.0,389.0,서울특별시,서초구,4.0,관공서,방배1동주민센터,1165010100109220018015457,1165010100.0,1165060000.0,서울특별시 서초구 효령로29길 43(방배동),598.0,230.0,126.99449,37.48335,199512.96659,542656.32589,긴급,3343.0290440788817
강남역 인근 시연 시작점,3891.0,1165000000.0,12.0,서울특별시,서초구,1.0,학교,서래초등학교,1165010100107710000015657,1165010100.0,1165059000.0,서울특별시 서초구 방배로 260(방배동),2441.0,938.0,126.9893,37.4963,199053.45886,544093.73723,긴급,3385.5156199811126
강남역 인근 시연 시작점,3913.0,1165000000.0,472.0,서울특별시,서초구,4.0,관공서,방배본동주민센터,1165010100107740009016396,1165010100.0,1165059000.0,서울특별시 서초구 동광로19길 38(방배동),324.0,127.0,126.99,37.49,199115.62765,543394.30532,긴급,3434.408529526764
강남역 인근 시연 시작점,3917.0,1165000000.0,429.0,서울특별시,서초구,3.0,경로당,잔디마을경로당,1165010200102050004003843,1165010200.0,1165065200.0,서울특별시 서초구 매헌로6길 58(양재동),65.0,25.0,127.03548,37.46625,203138.77828,540758.6275,안전,3591.3713455694988
강남역 인근 시연 시작점,3955.0,1165000000.0,459.0,서울특별시,서초구,3.0,경로당,구립반포본동경로당,1165010700111270000018823,1165010700.0,1165055000.0,"서울특별시 서초구 신반포로 32(반포동, 반포아파트)",73.0,27.0,126.9861,37.50026,198770.44843,544532.88988,긴급,3671.8816896052463
강남역 인근 시연 시작점,3909.0,1165000000.0,402.0,서울특별시,서초구,3.0,경로당,구립방배4동경로당,1165010100108210001010036,1165010100.0,1165062100.0,서울특별시 서초구 방배중앙로19길 4(방배동),146.0,56.0,126.9869,37.48987,198841.55602,543380.05937,긴급,3702.859111515079
강남역 인근 시연 시작점,3903.0,1165000000.0,424.0,서울특별시,서초구,3.0,경로당,기령당경로당,1165010100107780016015985,1165010100.0,1165059000.0,서울특별시 서초구 방배중앙로 159-6 (방배동),66.0,25.0,126.98596,37.49332,198758.42543,543763.34458,긴급,3711.0587722775326
강남역 인근 시연 시작점,3921.0,1165000000.0,415.0,서울특별시,서초구,1.0,학교,우면초등학교,1165010300102860000000001,1165010300.0,1165065100.0,서울특별시 서초구 태봉로 59(우면동),764.0,293.0,127.0236,37.46466,202087.9174,540582.00269,긴급,3717.529285526286
강남역 인근 시연 시작점,3952.0,1168000000.0,524.0,서울특별시,강남구,1.0,학교,청담중학교,1168010400101430000017129,1168010400.0,1168056500.0,서울특별시 강남구 압구정로61길 36(청담동),1944.0,747.0,127.04554,37.52852,204025.5635,547670.26386,안전,3749.734256602324
강남역 인근 시연 시작점,3898.0,1165000000.0,349.0,서울특별시,서초구,1.0,학교,방배초등학교,1165010100108610001024669,1165010100.0,1165062100.0,서울특별시 서초구 방배중앙로13길 26(방배동),726.0,279.0,126.98718,37.48746,198866.10518,543112.52114,안전,3753.3253106125694
강남역 인근 시연 시작점,3975.0,1168000000.0,534.0,서울특별시,강남구,1.0,학교,양전초등학교,1168010300101830000019091,1168010300.0,1168067000.0,서울특별시 강남구 개포로 513(개포동),1897.0,729.0,127.06912,37.49026,206112.86372,543425.0228,안전,3759.563167620593
강남역 인근 시연 시작점,3954.0,1168000000.0,525.0,서울특별시,강남구,1.0,학교,봉은초등학교,1168010500100790002014624,1168010500.0,1168058000.0,서울특별시 강남구 학동로 610(삼성동),2361.0,908.0,127.06079,37.5201,205374.03282,546736.77062,안전,3825.178832179855
강남역 인근 시연 시작점,3902.0,1165000000.0,467.0,서울특별시,서초구,1.0,학교,서문여자고등학교,1165010100115140000010278,1165010100.0,1165062100.0,서울특별시 서초구 동광로12길 84(방배동),1023.0,393.0,126.9855,37.48934,198717.51089,543321.37662,긴급,3837.0823614009
강남역 인근 시연 시작점,4650.0,1117000000.0,431.0,서울특별시,용산구,4.0,관공서,서빙고동 주민센터,1117013300101340000029055,1117013300.0,1117069000.0,서울특별시 용산구 서빙고로 279(서빙고동),113.0,30.0,126.99464,37.52049,199525.89333,546777.95553,안전,3840.541238113493
강남역 인근 시연 시작점,4651.0,1117000000.0,324.0,서울특별시,용산구,1.0,학교,오산고등학교,1117013600101680004001643,1117013600.0,1117070000.0,서울특별시 용산구 보광로7길 17(보광동),800.0,240.0,126.99976,37.52454,199979.16672,547228.1982,안전,3845.395996021517
강남역 인근 시연 시작점,3904.0,1165000000.0,396.0,서울특별시,서초구,3.0,경로당,구립 방배3동 제1경로당,1165010100105370050010887,1165010100.0,1165062000.0,서울특별시 서초구 효령로14다길 21(방배동),60.0,20.0,126.99162,37.47823,199258.41614,542087.62119,안전,3859.0553286389854
강남역 인근 시연 시작점,3901.0,1165000000.0,453.0,서울특별시,서초구,1.0,학교,서문여자중학교,1165010100115140000009314,1165010100.0,1165062100.0,서울특별시 서초구 동광로12길 84(방배동),5700.0,2192.0,126.98457,37.48882,198635.34416,543262.96288,긴급,3931.125878554649
강남역 인근 시연 시작점,3893.0,1165000000.0,414.0,서울특별시,서초구,1.0,학교,동덕여자중고등학교,1165010100200820000000003,1165010100.0,1165062000.0,서울특별시 서초구 효령로2길 123-5 (방배동),13162.0,5062.0,126.99251,37.47587,199337.53342,541825.8737,긴급,3952.0962703626296
강남역 인근 시연 시작점,3950.0,1168000000.0,535.0,서울특별시,강남구,1.0,학교,개원중학교,1168010300101840000019087,1168010300.0,1168067000.0,서울특별시 강남구 영동대로 101(개포동),2034.0,782.0,127.07174,37.49172,206343.90093,543587.54403,안전,3953.367468457096
강남역 인근 시연 시작점,4652.0,1117000000.0,446.0,서울특별시,용산구,3.0,경로당,보광종점경로당,1117013600102170032002847,1117013600.0,1117070000.0,서울특별시 용산구 장문로 95(보광동),75.0,20.0,127.00005,37.52638,200004.75119,547431.97347,안전,3989.241004721546
강남역 인근 시연 시작점,4649.0,1117000000.0,323.0,서울특별시,용산구,1.0,학교,서빙고초등학교,1117013300100040059003875,1117013300.0,1117069000.0,서울특별시 용산구 서빙고로51길 14(서빙고동),1650.0,500.0,126.9924,37.52215,199328.41444,546962.08509,안전,4110.700665347546
강남역 인근 시연 시작점,3911.0,1165000000.0,390.0,서울특별시,서초구,4.0,관공서,방배2동주민센터,1165010100104620013013079,1165010100.0,1165061000.0,서울특별시 서초구 청두곶길 36(방배동),898.0,345.0,126.98558,37.47979,198724.9357,542261.4842,안전,4222.6973265098495
강남역 인근 시연 시작점,3897.0,1165000000.0,428.0,서울특별시,서초구,3.0,경로당,소동마을경로당,1165010300104760006007133,1165010300.0,1165065100.0,서울특별시 서초구 송동길 27(우면동),99.0,38.0,127.01711,37.46017,201513.48829,540084.02161,안전,4301.011327751685
강남역 인근 시연 시작점,3967.0,1165000000.0,470.0,서울특별시,서초구,13.0,"연수,숙박",오라카이 청계산 호텔,1165011100102710021000002,1165011100.0,1165066000.0,서울특별시 서초구 청계산로9길 1-7 (신원동),20177.0,386.0,127.04696,37.46221,204154.81621,540310.8658,긴급,4324.010386714221
강남역 인근 시연 시작점,4035.0,1171000000.0,497.0,서울특별시,송파구,1.0,학교,서울아주초등학교,1171010100101150000000054,1171010100.0,1171072000.0,서울특별시 송파구 올림픽로4길 59(잠실동),5824.0,2240.0,127.07598,37.50537,206717.78778,545102.49615,안전,4345.336563433794
강남역 인근 시연 시작점,3826.0,1159000000.0,100.0,서울특별시,동작구,13.0,"연수,숙박",코자자모텔,1159010700101470050011895,1159010700.0,1159062000.0,서울특별시 동작구 사당로30길 5(사당동),11.0,20.0,126.98112,37.48475,198330.39504,542811.42539,긴급,4356.844092941245
